BILIBILI2,ID,EQUAL,DATE,COMMENTS,,
BILIBILI2,最愛吃兽奶丶,男,2020-12-06 12:19,"饭圈文化荼毒人最深的就是会在无形之中建立一种党同伐异的思维，即遇事不论对错，先查粉籍扣帽子，自带一层滤镜看人，大家有兴趣可以围观一下饭圈吵架，简直可以说是毫无理性可言。主要就是拼的是谁人多，谁声音大，谁手段更下作，还有各种各样的洗白手段，然后污蔑群众（制作易像，刷黑词条，建千人黑粉群）。
饭圈它的非理性是很疯狂的，而且极具攻击性，可能你说一句话，人家而是绝对可以喷到你怀疑人生，饭圈可以保持理性好好说话的人很少。
并且饭圈的规则和人的价值一部分都很扭曲，总之你的一句话，人家就会拉帮结伙攻击你，就像现在B站就有他们的洗白专栏，只要你去说一句不好听的话，它们立马拉黑，还说营销号带节奏黑它们嗝嗝，它们饭的这个嗝嗝，出了这事，多少媒体，gf在说这件事，还把节奏扯蛋营销号身上去了，难道这些媒体，gf，都是营销号？在这里我劝饭圈的你们，回头是岸。",0,0
BILIBILI2,二次元虎酱---虎哥,男,2020-12-06 4:31,大家都忘了，现在颁奖又开始洗了,5,1
BILIBILI2,草莓甜粥来两碗,女,2020-12-06 3:26,笑死我了粉丝都来这洗白了,7,1
BILIBILI2,柯初♂辰,保密,2020-12-05 15:51,好家伙我周震南了，有没有人给我讲讲具体咋的了，不追星的我去年还蛮喜欢他们歌还有舞台，今年想起来准备再看看，就看到这个了,1,0
BILIBILI2,诶何必如此认真,女,2020-12-05 4:04,N  B  A复播两个月了，大家都忘了吗？,4,0
BILIBILI2,Nazcad,保密,2020-12-05 1:03,BV1cy4y167BU 这里面的评论把我看傻了,2,1
BILIBILI2,起名字好麻烦4869,女,2020-12-04 15:37,现在他们的粉丝还再洗白，删评还删得理直气壮[微笑],3,0
BILIBILI2,尔等尽如此歹毒,保密,2020-12-03 16:06,来上个香,0,0
BILIBILI2,-风歌-,男,2020-12-03 16:02,俩月不到，这事儿过去了呀[辣眼睛],1,0
BILIBILI2,YiMingちゃん,女,2020-12-03 9:52,我在评论区评论了一句:df41。结果被举报了,0,0
BILIBILI2,炏林沝,保密,2020-12-02 18:06,https://b23.tv/PuT3KP评论区,3,0
BILIBILI2,飯圈慕刃66,保密,2020-12-02 7:55,UID:16854656这个人还在洗防弹少年团[微笑]骂完就拉黑,7,0
BILIBILI2,呆呆呆呆呆呆橘,男,2020-12-01 13:30,想问一下，刚才在wyy看到了他们的新歌，评论一堆粉他的，这过了一个月了是有反转还是怎么,13,4
BILIBILI2,雴霫,保密,2020-11-30 6:11,回顾一下，今天关于某些东西的视频上热门了呢[笑],18,0
BILIBILI2,raindropdroptop,男,2020-11-29 15:55,中国饭圈的人真是可怕，人家发表这种言论照样继续舔，作为偶像难道他们不知道对自己言行负责吗？他们可能会没受过训练吗？放弃所谓的幻想吧，歌你该听就听，但真的别再为自己家主子说话了,26,1
BILIBILI2,雷阿鸡尾酒,女,2020-11-28 9:56,我说句实话哈，大家也不必在这里费口舌说那些脑残粉啊，咒骂防弹少年团啊，说这些都没有什么用的，再怎么说，也不会妨碍到防弹少年团，就算他们在中国没有了粉丝，没有市场，他们在全球照样有市场，有很多粉丝，因为他们有实力。至于那些脑残粉，如果觉得他们脑残的话，就不要去搭理他们，我们何必把这时间花费到这上面呢？,3,1
BILIBILI2,传说中的希冷君,男,2020-11-28 7:59,完蛋少年团,11,0
BILIBILI2,最愛吃兽奶丶,男,2020-12-06 12:19,"饭圈文化荼毒人最深的就是会在无形之中建立一种党同伐异的思维，即遇事不论对错，先查粉籍扣帽子，自带一层滤镜看人，大家有兴趣可以围观一下饭圈吵架，简直可以说是毫无理性可言。主要就是拼的是谁人多，谁声音大，谁手段更下作，还有各种各样的洗白手段，然后污蔑群众（制作易像，刷黑词条，建千人黑粉群）。
饭圈它的非理性是很疯狂的，而且极具攻击性，可能你说一句话，人家而是绝对可以喷到你怀疑人生，饭圈可以保持理性好好说话的人很少。
并且饭圈的规则和人的价值一部分都很扭曲，总之你的一句话，人家就会拉帮结伙攻击你，就像现在B站就有他们的洗白专栏，只要你去说一句不好听的话，它们立马拉黑，还说营销号带节奏黑它们嗝嗝，它们饭的这个嗝嗝，出了这事，多少媒体，gf在说这件事，还把节奏扯蛋营销号身上去了，难道这些媒体，gf，都是营销号？在这里我劝饭圈的你们，回头是岸。",0,0
BILIBILI2,jysnyi,男,2020-11-28 1:45,一群疯子粉丝，饭圈文化真恶心,0,0
BILIBILI2,jysnyi,男,2020-11-28 1:45,给我滚,0,0
BILIBILI2,彩虹花葬,保密,2020-11-27 20:41,有什么用 b站 还是抵抗不了资本。,0,0
BILIBILI2,视频不好看你打我,男,2020-11-27 0:23,朝鲜战争本身就是南朝鲜李承晚集团 在边境四百多次的挑衅 而且是连级编制 他各种声明 联合美国等一系列动作 就是想打仗,0,0
BILIBILI2,今天也要努力划,保密,2020-11-26 6:57,滚,1,0
BILIBILI2,chaichaigod,保密,2020-11-26 2:50,这个奖潘基文是不是也得过？,0,1
BILIBILI2,chaichaigod,保密,2020-11-26 2:48,我记得潘基文也得过这个奖吧，还有三星那个老总,2,2
BILIBILI2,追cp不追真人,保密,2020-11-26 1:15,我吐,1,0
BILIBILI2,步半仙,女,2020-11-25 7:58,再来复习一遍,2,0
BILIBILI2,bili_14046067463,保密,2020-11-25 6:45,韩国人行为这么恶劣为什么还有那么久多人喜欢，,7,0
BILIBILI2,17seventeen_,保密,2020-11-25 3:50,idol千千万，房子塌了换就是了,12,0
BILIBILI2,今天也要努力划,保密,2020-11-25 3:14,微博还在洗 比例还挺大 我就？！？！ 是韩圈偶像都死光了？,29,0
BILIBILI2,今天也要努力划,保密,2020-11-25 3:13,就硬洗 没封杀是因为中国不希望中韩关系恶化以及本身大国不至于跟娱乐明星计较 而且还要考虑国际反华会不会因此哔哔赖赖说什么中国没有大国风范 别给自己脸上贴金好吗？ 蔑视比侮辱更过分 人家领这个奖就根本不在乎你们的感受 你们就是把头送给对方割的韭菜  非要直言封杀才闭嘴 都留点脸面吧 硬要粉也没办法 但我们抵制一切洗白行为,10,2
BILIBILI2,今天也要努力划,保密,2020-11-25 3:04,救命 不要上升饭圈好吗 也不要骂韩国好吗 好的韩国爱豆很多的,5,2
BILIBILI2,今天也要努力划,保密,2020-11-25 3:02,救命啊 骂防弹能不能不要上升整个韩圈 小偶像兢兢业业怎么也被吗,8,1
BILIBILI2,今天也要努力划,保密,2020-11-25 2:58,11.25 乳化团提名格莱美了 孝死了 微博又是控评,15,6
BILIBILI2,YiMingちゃん,女,2020-11-24 17:14,追什么狗屁韩星？听听摇滚不好吗？,3,1
BILIBILI2,玄ガ白,保密,2020-11-24 4:40,@防弹少年团吧字幕组,0,3
BILIBILI2,蒙恬god,保密,2020-11-24 4:27,张口就说扁你，可真厉害，要不这评委让你来当吧！,2,3
BILIBILI2,蒙恬god,保密,2020-11-24 4:26,对于他们国家就是这样啊！客观一点行吗？,4,8
BILIBILI2,拖延症妖怪l,保密,2020-11-24 2:13,https://b23.tv/JixLc4,1,0
BILIBILI2,橙子不想喝橙汁,男,2020-11-23 16:04,臭蛋少年团，说你们是臭蛋都感觉在侮辱臭蛋,8,0
BILIBILI2,此账号尚未设置ID,保密,2020-11-23 3:42,立场不同，他们也没错，但是希望中国粉丝自重,12,1
BILIBILI2,草莓味_cheese,保密,2020-11-23 1:36,现在这个团又火了，b站的粉丝和微博的虾有的一拼[辣眼睛]这个团来道个歉粉丝照样给他们送钱,25,3
BILIBILI2,教母not酵母,保密,2020-11-22 14:25,看完金刚川再回来看看这几个逼[微笑],3,0
BILIBILI2,肖俊乐打肖俊森,保密,2020-11-22 10:55,我吐了怎么还有国人粉啊，当央视放屁吗？就这么想叛国？央视10月16日发的东西看没,7,0
BILIBILI2,秋月eS,男,2020-11-22 0:51,就现在这个啥苟团体还有人粉服了服了,22,17
BILIBILI2,今天也要努力划,保密,2020-11-21 15:05,我屏蔽了？,1,2
BILIBILI2,是冰美式啊,保密,2020-11-21 14:16,追星前做个人吧？,8,1
BILIBILI2,高级动物xs,保密,2020-11-21 8:34,看看新歌的评论吧,12,3
BILIBILI2,6907687,男,2020-11-21 8:25,https://www.bilibili.com/video/BV1oK4y1f7SG,1,0
BILIBILI2,今天也要努力划,保密,2020-11-21 4:37,恶心套团,3,0
BILIBILI2,今天也要努力划,保密,2020-11-21 4:33,抵制辱华团,1,0
BILIBILI2,今天也要努力划,保密,2020-11-21 4:32,套团糊糊糊,3,0
BILIBILI2,今天也要努力划,保密,2020-11-21 4:32,套团恶心死了,2,0
BILIBILI2,潇洒大哥hi,男,2020-11-21 2:36,他们的团粉真的是恶心,5,0
BILIBILI2,摸鱼者墨屿,男,2020-11-20 17:15,好笑，过几天你们就忘记了，然后这个屁团就更火了,11,4
BILIBILI2,不许嵩手呀呀,保密,2020-11-20 9:39,结果特么中国阿米还跪着买了一堆专辑,3,0
BILIBILI2,Your诺のRAY,男,2020-11-20 9:34,其实在这之后我才觉得卢本伟其实人还是挺好的[doge][doge],2,0
BILIBILI2,随风而逝的生命,保密,2020-11-20 9:24,佛了，又有人在b站上发，还有一堆粉丝搁哪洗，上了热门，就离谱,10,0
BILIBILI2,士凛赛高123,保密,2020-11-20 9:15,草，今天下午我同学才跟我说什么防弹少年团回归，很激动。踏马我都不知道防弹少年团是个啥，一上来搜又跳出这个东西，饭圈真恶心。这样的人都能粉,8,0
BILIBILI2,本味生活_,男,2020-11-20 9:03,他们洗的真快,9,0
BILIBILI2,达壁垒长城,保密,2020-11-20 8:56,https://b23.tv/av970307740，恶臭账号又再发了,2,10
BILIBILI2,装垫台五套,男,2020-11-20 8:54,BV1wp4y1r7PW,10,3
BILIBILI2,MitSuha41,男,2020-11-20 8:47,他们回来了😅😅😅,6,0
BILIBILI2,wo真是服了,保密,2020-11-20 7:14,这个得顶一下,0,0
BILIBILI2,初词耶,保密,2020-11-20 3:27,说实话，他们家粉丝真的很恶臭,7,0
BILIBILI2,麦哲伦是只小企鹅,保密,2020-11-20 0:49,害这群人也只是被操控的可怜人罢了，和一个傀儡有啥好气的。,0,0
BILIBILI2,爱写小说的我,保密,2020-11-19 18:49,韩国自古以来就是不耐战的民族，中国清朝皇太极也使劲蹂躏过它，历史上日本也多次侵略过它，二战还将它变成殖民地。这种出不了什么英雄的民族自然遍地都是孬种，也自然不可能说出公正像样的话来。因为现在和美国的关系，所以昧着良心说出了视频中的话为的自然就是讨好美国主人了。没有中国的帮助就没有今天的朝鲜和韩国！也许它们早就名存实亡变成美国在亚洲的基地了。准确地说，中国历史上两次援助过朝鲜，一次是明代万历年间的抗倭援朝，第二次是1950年的抗美援朝，两次都拯救了朝鲜。,2,0
BILIBILI2,bengbeng爆弾,保密,2020-11-19 5:17,有好多老师都带着学生追星，不整治就离谱，而且所谓的鲜肉往后稍稍吧，啥时候贫弱成了帅气酷的代表词了,12,0
BILIBILI2,许墨秘密情人,女,2020-11-19 2:11,晦气 这家粉丝也成大众雷点了可笑死我了,2,0
BILIBILI2,Ovo啊这一v一,女,2020-11-18 16:09,这件事到底是针对于防弹少年团呢？还是中国粉丝呢？[疑惑],0,1
BILIBILI2,君主的素罗华威,保密,2020-11-18 9:53,啊？,0,0
BILIBILI2,小默的冰棱,保密,2020-11-17 18:34,就是来圈钱来了呗  “限韩令”松了？,4,0
BILIBILI2,宋染烟,女,2020-11-17 14:47,不是队长说的吗？为什么骂全团？(没有恶意只是好奇),3,5
BILIBILI2,bili-17078965,保密,2020-11-17 13:03,BV1yb411y76d一点都不影响啊 现在网络圈子群体好像是新航路开辟之前互相隔绝的人类，这边骂得欢，那边快乐追星,18,0
BILIBILI2,Western不笑,男,2020-11-17 12:47,能防得了东风导弹吗凑弟弟们,14,1
BILIBILI2,石鼓文,保密,2020-11-15 23:46,“纸老虎从白眼狼口中救下了一条看门犬，我们从纸老虎口中救下了一条白眼狼。”,7,0
BILIBILI2,CHAOSbr76,女,2020-11-15 14:08,行呗，现在又开始控评了,10,0
BILIBILI2,CHAOSbr76,女,2020-11-15 12:23,和粉丝对线真的很爽,15,0
BILIBILI2,新宫静,女,2020-11-15 10:56,有些人不脱粉就不脱呗（只要能接受其他人的负面看法，那无所谓，大家也不能给你洗脑）。。。但是扭曲国家历史，站在韩国立场说话，不管自己中国人的立场，让人很无语。,16,0
BILIBILI2,小魔龙华,保密,2020-11-15 10:30,以他们为自己的偶像，呵,0,0
BILIBILI2,黛夏16,保密,2020-11-15 10:15,粉丝捧你，你才是偶像。不然你以为自己是个什么东西,1,0
BILIBILI2,拾光软糖,保密,2020-11-15 10:14,你家小孩糊糊么么,0,0
BILIBILI2,逃不出划划的世界,女,2020-11-15 9:47,真的无语，还有人在那洗呢，口味真重,3,0
BILIBILI2,speke,保密,2020-11-15 7:34,网易云上的一堆孝子真的恶心到我了[捂脸],15,1
BILIBILI2,仁楼,保密,2020-11-15 6:30,萨德少年团。,7,0
BILIBILI2,樱田妮妮b_,男,2020-11-15 3:13,看到有人点赞我再回来骂一句，邪教团糊穿地心[呲牙]#我为所有防弹和肖战粉丝的精神状态感到担忧#,4,0
BILIBILI2,把盞,保密,2020-11-15 2:33,啊这，他们颠倒历史不已经是人尽皆知的事了么，况且一个人做错事被批评，和他做好事被夸奖，二者有必然联系吗。,3,0
BILIBILI2,雪名ゆきな,保密,2020-11-15 1:25,看到现在微博、豆瓣还有好多FD的粉丝在活跃，想起那些痛苦地牺牲在范弗利特攻击中的志愿军战士，心里真是不好受…,14,4
BILIBILI2,放射治疗,男,2020-11-14 15:48,辣鸡,1,0
BILIBILI2,midnight玖韩,男,2020-11-14 12:41,怎么办，我班上有个防弹孝子,7,1
